"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5","test_get_own_user_profile","tests","Tue Apr 07 07:12:23 UTC 2026","passed","Tue Apr 07 07:12:23 UTC 2026","TestGetUser","user_test","",""
"Orders link is visible when authenticated","1252","ordersLinkIsVisibleWhenAuthenticated","SQA Automation Lab — Selenium UI Suite","Tue Apr 07 07:18:50 UTC 2026","passed","Tue Apr 07 07:18:51 UTC 2026","com.sqa.ui.tests.NavigationTest","UI Tests","com.sqa.ui.tests.NavigationTest","ordersLinkIsVisibleWhenAuthenticated"
"Authenticated user visiting login page is redirected to dashboard — AUT Bug D","11878","authenticatedUserVisitingLoginIsRedirectedToDashboard","SQA Automation Lab — Selenium UI Suite","Tue Apr 07 07:12:45 UTC 2026","broken","Tue Apr 07 07:12:57 UTC 2026","com.sqa.ui.tests.LoginTest","UI Tests","com.sqa.ui.tests.LoginTest","authenticatedUserVisitingLoginIsRedirectedToDashboard"
"","121","limit parameter is respected","","Tue Apr 07 07:12:17 UTC 2026","passed","Tue Apr 07 07:12:17 UTC 2026","User Endpoints > GET /api/users","user_test.spec.ts","",""
"Verify update order status fails without authentication","15","testUpdateOrderStatusNoAuth","API Test Suite","Tue Apr 07 07:12:24 UTC 2026","passed","Tue Apr 07 07:12:24 UTC 2026","com.automationlab.tests.OrderTest","API Tests","com.automationlab.tests.OrderTest","testUpdateOrderStatusNoAuth"
"","831","Admin order error message shown on invalid product","chromium","Tue Apr 07 07:13:13 UTC 2026","passed","Tue Apr 07 07:13:14 UTC 2026","Product Detail — Authenticated Admin","product_detail_test.spec.ts","",""
"","4","test_admin_can_create_product","tests","Tue Apr 07 07:12:22 UTC 2026","passed","Tue Apr 07 07:12:22 UTC 2026","TestCreateProduct","products_test","",""
"Register link navigates to register page","662","registerLinkNavigatesToRegisterPage","SQA Automation Lab — Selenium UI Suite","Tue Apr 07 07:13:23 UTC 2026","passed","Tue Apr 07 07:13:24 UTC 2026","com.sqa.ui.tests.LoginTest","UI Tests","com.sqa.ui.tests.LoginTest","registerLinkNavigatesToRegisterPage"
"","4","test_get_nonexistent_user_returns_404","tests","Tue Apr 07 07:12:23 UTC 2026","passed","Tue Apr 07 07:12:23 UTC 2026","TestGetUser","user_test","",""
"","260","Register page displays create account heading","chromium","Tue Apr 07 07:13:26 UTC 2026","passed","Tue Apr 07 07:13:26 UTC 2026","Register","register_test.spec.ts","",""
"After soft delete, product should not appear in public listing.","7","test_deleted_product_not_in_listing","tests","Tue Apr 07 07:12:23 UTC 2026","passed","Tue Apr 07 07:12:23 UTC 2026","TestDeleteProduct","products_test","",""
"","38108","POST /api/products - admin","","Tue Apr 07 07:14:13 UTC 2026","passed","Tue Apr 07 07:14:51 UTC 2026","","k6 Performance Tests","",""
"","75","returns HTTP 400 or 404 for non-existent product","","Tue Apr 07 07:12:03 UTC 2026","passed","Tue Apr 07 07:12:03 UTC 2026","Order Endpoints > POST /api/orders","orders_test.spec.ts","",""
