"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","","298","0","","0"
"0","User Management","0","User Endpoints","7","0","Get User By ID","0"
"0","Order Management","0","Order Endpoints","11","0","Create Order","0"
"0","Product Management","0","Product Endpoints","4","0","Get Product By ID","0"
"0","Health & Status","0","Health Check Endpoints","1","0","Invalid Endpoints","0"
"0","Product Management","0","Product Endpoints","10","0","List Products","0"
"0","Authentication","0","Auth Endpoints","3","0","Get Current User","0"
"0","Authentication","0","Auth Endpoints","12","0","User Registration","0"
"0","Order Management","0","Order Endpoints","4","0","Update Order Status","0"
"0","User Management","0","User Endpoints","7","0","Update User","0"
"0","Order Management","0","Order Endpoints","5","0","List Orders","0"
"0","User Management","0","User Endpoints","8","0","List Users","0"
"0","Product Management","0","Product Endpoints","11","0","Create Product","0"
"0","Authentication","0","Auth Endpoints","5","0","User Login","0"
"0","Product Management","0","Product Endpoints","6","0","Update Product","0"
"0","Health & Status","0","Health Check Endpoints","7","0","Health Check","0"
"0","Authentication","0","Auth Endpoints","2","0","User Logout","0"
"0","Order Management","0","Order Endpoints","4","0","Cancel Order","0"
"0","User Management","0","User Endpoints","5","0","Delete User","0"
"0","Order Management","0","Order Endpoints","7","0","Get Order By ID","0"
"0","Product Management","0","Product Endpoints","4","0","Delete Product","0"
"0","Health & Status","0","Health Check Endpoints","2","0","Root Endpoint","0"
"0","Authentication","0","Auth Endpoints","1","0","Token Validation","0"
"0","","0","OWASP ZAP","2","0","Informational","0"
"1","","0","OWASP ZAP","0","0","Medium","0"
