"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7","response body contains endpoints field","","Thu Mar 05 05:36:40 UTC 2026","passed","Thu Mar 05 05:36:40 UTC 2026","Health Endpoints > GET /","health_test.spec.ts","",""
"","72","limit parameter is respected","","Thu Mar 05 05:36:56 UTC 2026","passed","Thu Mar 05 05:36:56 UTC 2026","User Endpoints > GET /api/users","user_test.spec.ts","",""
"Verify password is not included in user response","20","testGetUserDoesNotReturnPassword","API Test Suite","Thu Mar 05 05:37:23 UTC 2026","passed","Thu Mar 05 05:37:23 UTC 2026","com.automationlab.tests.UserTest","API Tests","com.automationlab.tests.UserTest","testGetUserDoesNotReturnPassword"
"","4","returns HTTP 400 for non-numeric product id","","Thu Mar 05 05:36:50 UTC 2026","passed","Thu Mar 05 05:36:50 UTC 2026","Product Endpoints > GET /api/products/:id","products_test.spec.ts","",""
"","3","test_register_with_short_password_returns_400","tests","Thu Mar 05 05:37:04 UTC 2026","passed","Thu Mar 05 05:37:04 UTC 2026","TestRegistration","auth_test","",""
"","318","returns HTTP 400 for quantity exceeding available stock","","Thu Mar 05 05:36:42 UTC 2026","passed","Thu Mar 05 05:36:42 UTC 2026","Order Endpoints > POST /api/orders","orders_test.spec.ts","",""
"","139","returns HTTP 403 or 404 when accessing another users data","","Thu Mar 05 05:36:57 UTC 2026","passed","Thu Mar 05 05:36:57 UTC 2026","User Endpoints > GET /api/users/:id","user_test.spec.ts","",""
"","5","returns HTTP 400 when email is missing","","Thu Mar 05 05:36:39 UTC 2026","passed","Thu Mar 05 05:36:39 UTC 2026","Authentication Endpoints > POST /api/auth/login","auth_test.spec.ts","",""
"","81","user objects in response do not expose password field","","Thu Mar 05 05:36:56 UTC 2026","passed","Thu Mar 05 05:36:56 UTC 2026","User Endpoints > GET /api/users","user_test.spec.ts","",""
"","71","response contains users array and pagination object","","Thu Mar 05 05:36:55 UTC 2026","passed","Thu Mar 05 05:36:55 UTC 2026","User Endpoints > GET /api/users","user_test.spec.ts","",""
"","242","test_login_as_admin","tests","Thu Mar 05 05:37:05 UTC 2026","passed","Thu Mar 05 05:37:05 UTC 2026","TestLogin","auth_test","",""
"","30167","User Tests","","Thu Mar 05 05:37:57 UTC 2026","passed","Thu Mar 05 05:38:27 UTC 2026","","JMeter Performance Tests","",""
"Verify order can be created with multiple items","46","testCreateOrderMultipleItems","API Test Suite","Thu Mar 05 05:37:28 UTC 2026","passed","Thu Mar 05 05:37:28 UTC 2026","com.automationlab.tests.OrderTest","API Tests","com.automationlab.tests.OrderTest","testCreateOrderMultipleItems"
"","10","test_admin_can_update_status_to_delivered","tests","Thu Mar 05 05:37:08 UTC 2026","passed","Thu Mar 05 05:37:08 UTC 2026","TestUpdateOrderStatus","orders_test","",""
"Verify get non-existent product returns 404","13","testGetNonExistentProduct","API Test Suite","Thu Mar 05 05:37:25 UTC 2026","passed","Thu Mar 05 05:37:25 UTC 2026","com.automationlab.tests.ProductTest","API Tests","com.automationlab.tests.ProductTest","testGetNonExistentProduct"
"","4","test_list_users_invalid_page_returns_400","tests","Thu Mar 05 05:37:10 UTC 2026","passed","Thu Mar 05 05:37:10 UTC 2026","TestListUsers","user_test","",""
"","331","order item details include product_id, quantity, and price","","Thu Mar 05 05:36:41 UTC 2026","passed","Thu Mar 05 05:36:42 UTC 2026","Order Endpoints > POST /api/orders","orders_test.spec.ts","",""
"","4","test_user_cannot_update_other_user","tests","Thu Mar 05 05:37:10 UTC 2026","passed","Thu Mar 05 05:37:10 UTC 2026","TestUpdateUser","user_test","",""
"Verify invalid endpoint returns 404","33","testInvalidEndpoint","API Test Suite","Thu Mar 05 05:37:19 UTC 2026","passed","Thu Mar 05 05:37:19 UTC 2026","com.automationlab.tests.HealthTest","API Tests","com.automationlab.tests.HealthTest","testInvalidEndpoint"
"Verify products list supports pagination","39","testListProductsPagination","API Test Suite","Thu Mar 05 05:37:26 UTC 2026","passed","Thu Mar 05 05:37:26 UTC 2026","com.automationlab.tests.ProductTest","API Tests","com.automationlab.tests.ProductTest","testListProductsPagination"
"","330","returns HTTP 201 on successful order creation","","Thu Mar 05 05:36:40 UTC 2026","passed","Thu Mar 05 05:36:40 UTC 2026","Order Endpoints > POST /api/orders","orders_test.spec.ts","",""
"Verify get current user fails without token","26","testGetCurrentUserNoToken","API Test Suite","Thu Mar 05 05:37:19 UTC 2026","passed","Thu Mar 05 05:37:19 UTC 2026","com.automationlab.tests.AuthTest","API Tests","com.automationlab.tests.AuthTest","testGetCurrentUserNoToken"
